epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.864,0.86398,2.90038,1.35926,0.00568,1,0.51252,0.39223,0.5232,3.12113,1.07789,8.335e-05,8.335e-05,8.335e-05
2,200.45,0.76069,2.6828,1.28703,0.00572,1,0.75188,0.62524,0.43664,3.09589,1.02038,0.000179739,0.000179739,0.000179739
3,326.587,0.62411,2.31779,1.17232,0.00571,1,0.93087,0.79138,0.28351,3.01207,0.8806,0.000272168,0.000272168,0.000272168
4,408.574,0.64804,1.96925,1.13466,0.00572,1,0.995,0.83948,0.36828,2.92014,0.93289,0.000360635,0.000360635,0.000360635
5,493.747,0.66181,1.65054,1.16024,0.00568,1,0.995,0.8941,0.43093,2.83899,0.94207,0.000445142,0.000445142,0.000445142
6,587.949,0.71903,1.42157,1.16305,0.0057,1,0.93167,0.85075,0.40251,2.83203,0.97912,0.000525688,0.000525688,0.000525688
7,690.271,0.67172,1.22516,1.16111,0.00577,1,0.995,0.90247,0.49671,2.77507,1.09913,0.000602274,0.000602274,0.000602274
8,787.294,0.67887,1.11095,1.15724,0.96548,0.5,0.995,0.8323,0.57153,2.53756,1.1542,0.000674898,0.000674898,0.000674898
9,855.496,0.64487,0.97423,1.14294,0.92915,0.5,0.96875,0.88244,0.46296,2.56566,0.93924,0.000743562,0.000743562,0.000743562
10,923.13,0.66303,0.9933,1.11856,0.95776,0.5,0.995,0.90517,0.5415,2.55171,1.00289,0.000808265,0.000808265,0.000808265
11,993.233,0.61793,0.94341,1.10632,0.98841,0.5,0.96643,0.83289,0.5906,2.32179,1.02815,0.000869007,0.000869007,0.000869007
12,1085.58,0.57865,0.8732,1.07237,0.78977,0.75425,0.96643,0.78997,0.77958,2.19391,1.18736,0.000925788,0.000925788,0.000925788
13,1182.12,0.56095,0.87197,1.08393,0.94946,0.82275,0.995,0.82677,0.64217,2.38064,1.04253,0.000978609,0.000978609,0.000978609
14,1283.21,0.57037,0.83451,1.06424,0.94298,0.89084,0.995,0.85039,0.54723,1.93788,0.99965,0.00102747,0.00102747,0.00102747
15,1386.85,0.58646,0.87733,1.08672,0.74508,1,0.995,0.88096,0.56901,2.08661,1.01961,0.00107237,0.00107237,0.00107237
16,1482.49,0.58774,0.81127,1.1024,0.73937,0.95939,0.995,0.66929,0.7128,2.45979,1.09772,0.00111331,0.00111331,0.00111331
17,1580.59,0.61614,0.85915,1.12146,0.93399,0.95697,0.98625,0.89757,0.58542,2.06026,1.07135,0.00113889,0.00113889,0.00113889
18,1678.52,0.59108,0.81768,1.10054,0.98389,1,0.995,0.87951,0.64219,1.60569,1.12415,0.00110589,0.00110589,0.00110589
19,1779.22,0.54995,0.76958,1.04235,0.97735,1,0.995,0.86091,0.63171,1.52998,1.01983,0.00107288,0.00107288,0.00107288
20,1881.01,0.60848,0.77546,1.1084,0.95066,1,0.995,0.86183,0.57015,1.36861,1.03535,0.00103987,0.00103987,0.00103987
21,1981.61,0.51316,0.73844,1.03871,0.91629,1,0.995,0.77548,0.72656,1.33581,1.17812,0.00100687,0.00100687,0.00100687
22,2079.02,0.50934,0.71688,1.03816,0.93002,1,0.995,0.93447,0.4394,1.20285,0.95379,0.000973861,0.000973861,0.000973861
23,2176.85,0.50476,0.7153,1.03389,0.92702,1,0.995,0.91411,0.41958,1.17966,0.95398,0.000940855,0.000940855,0.000940855
24,2279.08,0.48881,0.68337,1.01919,0.97665,1,0.995,0.9054,0.46337,0.95214,0.94528,0.000907848,0.000907848,0.000907848
